NTACode,NTAName
MN04,Hamilton Heights
MN36,Washington Heights South
MN06,Manhattanville
MN28,Lower East Side
MN50,Stuyvesant Town-Cooper Village
MN23,West Village
MN35,Washington Heights North
MN99,park-cemetery-etc-Manhattan
MN12,Upper West Side
MN14,Lincoln Square
MN33,East Harlem South
MN24,SoHo-TriBeCa-Civic Center-Little Italy
MN34,East Harlem North
MN25,Battery Park City-Lower Manhattan
MN11,Central Harlem South
MN27,Chinatown
MN32,Yorkville
MN40,Upper East Side-Carnegie Hill
MN01,Marble Hill-Inwood
MN03,Central Harlem North-Polo Grounds
MN17,Midtown-Midtown South
MN20,Murray Hill-Kips Bay
MN09,Morningside Heights
MN15,Clinton
MN19,Turtle Bay-East Midtown
MN13,Hudson Yards-Chelsea-Flatiron-Union Square
MN31,Lenox Hill-Roosevelt Island
MN21,Gramercy
MN22,East Village
